Serial No.,Note,baseline_beat,rubato_beat,pauses_beat,accelerando_beat,ritardando_beat,sine_wave_tempo_beat
1,62,0.0,0.0,4.600013493372914,0.0,0.0,0.0
2,65,6.133351324497219,5.807517035383304,10.733364817870132,6.133351324497219,6.133351324497219,6.133351324497219
3,69,12.266702648994437,12.35295290199518,21.466729635740265,12.26530376484506,12.268102780921476,12.284239643310068
4,74,18.400053973491655,18.249914644194067,27.600080960237484,18.380258804638128,18.419866799253732,18.648214454697765
5,76,21.466729635740265,21.153673161885717,30.666756622486094,21.43773632453466,21.49574880841986,21.83020186039161
6,77,23.00006746686457,22.731733346417816,32.2000944536104,22.96647508448293,23.033689813002923,23.421195563238534
7,79,24.533405297988875,24.05423722576253,38.33344577810762,24.492425433069453,24.57441810168542,25.046591484891554
8,77,26.066743129113178,25.58438060307199,44.466797102604836,26.01656475159628,26.116956688288163,26.69433111566606
9,76,27.600080960237484,27.088968349862718,46.00013493372914,27.54070407012311,27.659495274890908,28.342070746440562
10,74,29.133418791361787,28.67980634965418,47.53347276485344,29.064843388649937,29.202033861493653,29.989810377215065
11,73,30.666756622486094,30.110921658703532,49.06681059597775,30.588982707176765,30.744572448096395,31.637550007989567
12,81,36.80010794698331,36.528579372721715,59.80017541384788,36.68135246817791,36.91891581828086,38.27852562301793
13,74,39.86678360923192,39.422754528968845,62.86685107609649,39.720431991771804,40.01319542357455,41.683882248990585
14,77,41.40012144035622,40.94970345246346,64.4001889072208,41.23997175356875,41.5603352262214,43.386560561976914
15,81,42.93345927148053,42.57568044421819,65.9335267383451,42.7595115153657,43.10747502886825,45.08923887496324
16,77,44.466797102604836,44.15054617493545,67.46686456946941,44.27905127716265,44.65461483151509,46.791917187949565
17,74,46.00013493372914,45.69985627513397,69.00020240059371,45.79859103895959,46.201754634161944,48.494595500935894
18,82,49.06681059597775,48.47903109404677,76.66689155621523,48.83209376562452,49.301611560831034,51.96332708079566
19,79,55.20016192047497,54.775299563100944,82.80024288071245,54.891855132221906,55.50857018214138,58.98311234556441
20,72,58.266837582723575,57.848364132979235,85.86691854296106,57.9217358155206,58.61204949279656,62.493004977948786
21,76,59.80017541384788,59.346562972140276,87.40025637408536,59.434299989230865,60.16616739774893,64.27315401502247
22,79,61.33351324497219,60.89906752615364,93.53360769858259,60.9446412961594,61.72251011686642,66.0768797909853
